Indices,GC,LC
"(0, 0, 0, 0, 2, 3, 2, 3)",7.89114670935656,2.25
"(0, 0, 0, 0, 2, 3, 3, 0)",7.319711048457127,2.0
"(0, 0, 0, 0, 2, 3, 3, 1)",7.802264210617761,2.125
"(0, 0, 0, 0, 2, 3, 3, 2)",7.564536735521782,2.25
"(0, 0, 0, 0, 2, 3, 3, 3)",7.859348201508926,2.375
"(0, 0, 0, 0, 3, 0, 0, 0)",7.320462895776493,1.375
"(0, 0, 0, 0, 3, 0, 0, 1)",8.557181253415525,1.5
"(0, 0, 0, 0, 3, 0, 0, 2)",8.535994571957456,1.625
"(0, 0, 0, 0, 3, 0, 0, 3)",9.15862600829479,1.75
"(0, 0, 0, 0, 3, 0, 1, 0)",6.114695408212759,1.5
"(0, 0, 0, 0, 3, 0, 1, 1)",7.54790262199729,1.625
"(0, 0, 0, 0, 3, 0, 1, 2)",7.218587509249327,1.75
"(0, 0, 0, 0, 3, 0, 1, 3)",7.569437329133405,1.875
"(0, 0, 0, 0, 3, 0, 2, 0)",6.953741072658323,1.625
"(0, 0, 0, 0, 3, 0, 2, 1)",7.983480509683895,1.75
"(0, 0, 0, 0, 3, 0, 2, 2)",7.335169000067868,1.875
"(0, 0, 0, 0, 3, 0, 2, 3)",8.009215202124079,2.0
"(0, 0, 0, 0, 3, 0, 3, 0)",6.685879299104573,1.75
"(0, 0, 0, 0, 3, 0, 3, 1)",8.042438588950487,1.875
"(0, 0, 0, 0, 3, 0, 3, 2)",7.485311525286275,2.0
"(0, 0, 0, 0, 3, 0, 3, 3)",8.124091802601775,2.125
"(0, 0, 0, 0, 3, 1, 0, 0)",8.357704560164201,1.5
"(0, 0, 0, 0, 3, 1, 0, 1)",9.15234471024175,1.625
"(0, 0, 0, 0, 3, 1, 0, 2)",8.961981663331365,1.75
"(0, 0, 0, 0, 3, 1, 0, 3)",9.195517087047238,1.875
"(0, 0, 0, 0, 3, 1, 1, 0)",7.202519423030882,1.625
"(0, 0, 0, 0, 3, 1, 1, 1)",8.193648429253928,1.75
"(0, 0, 0, 0, 3, 1, 1, 2)",7.695156951053651,1.875
"(0, 0, 0, 0, 3, 1, 1, 3)",7.656910758316269,2.0
"(0, 0, 0, 0, 3, 1, 2, 0)",7.817594062544459,1.75
"(0, 0, 0, 0, 3, 1, 2, 1)",8.40525529200855,1.875
"(0, 0, 0, 0, 3, 1, 2, 2)",7.587767416940205,2.0
"(0, 0, 0, 0, 3, 1, 2, 3)",7.872717606374956,2.125
"(0, 0, 0, 0, 3, 1, 3, 0)",8.171417374263092,1.875
"(0, 0, 0, 0, 3, 1, 3, 1)",9.085898456547522,2.0
"(0, 0, 0, 0, 3, 1, 3, 2)",8.35959502743099,2.125
"(0, 0, 0, 0, 3, 1, 3, 3)",8.609279292125033,2.25
"(0, 0, 0, 0, 3, 2, 0, 0)",6.8417915234189515,1.625
"(0, 0, 0, 0, 3, 2, 0, 1)",8.251357797450215,1.75
"(0, 0, 0, 0, 3, 2, 0, 2)",7.914089560286654,1.875
"(0, 0, 0, 0, 3, 2, 0, 3)",8.21423961607994,2.0
"(0, 0, 0, 0, 3, 2, 1, 0)",6.125955459927432,1.75
"(0, 0, 0, 0, 3, 2, 1, 1)",7.732010590104194,1.875
"(0, 0, 0, 0, 3, 2, 1, 2)",7.08661392165074,2.0
"(0, 0, 0, 0, 3, 2, 1, 3)",7.114982360990772,2.125
"(0, 0, 0, 0, 3, 2, 2, 0)",7.135597158171768,1.875
"(0, 0, 0, 0, 3, 2, 2, 1)",8.33818451158957,2.0
"(0, 0, 0, 0, 3, 2, 2, 2)",7.37379144626805,2.125
"(0, 0, 0, 0, 3, 2, 2, 3)",7.7253562677802154,2.25
"(0, 0, 0, 0, 3, 2, 3, 0)",7.166639354092525,2.0
"(0, 0, 0, 0, 3, 2, 3, 1)",8.69604656033067,2.125
"(0, 0, 0, 0, 3, 2, 3, 2)",7.822837940960967,2.25
"(0, 0, 0, 0, 3, 2, 3, 3)",8.13913683773242,2.375
"(0, 0, 0, 0, 3, 3, 0, 0)",6.934084231858849,1.75
"(0, 0, 0, 0, 3, 3, 0, 1)",7.992700190452281,1.875
"(0, 0, 0, 0, 3, 3, 0, 2)",7.643262622289286,2.0
"(0, 0, 0, 0, 3, 3, 0, 3)",7.9927964108507545,2.125
"(0, 0, 0, 0, 3, 3, 1, 0)",6.154146842527093,1.875
"(0, 0, 0, 0, 3, 3, 1, 1)",7.4092516572660205,2.0
"(0, 0, 0, 0, 3, 3, 1, 2)",6.751685657813133,2.125
"(0, 0, 0, 0, 3, 3, 1, 3)",6.829437829921349,2.25
"(0, 0, 0, 0, 3, 3, 2, 0)",7.0010391748281995,2.0
"(0, 0, 0, 0, 3, 3, 2, 1)",7.852676212808172,2.125
"(0, 0, 0, 0, 3, 3, 2, 2)",6.87611381648722,2.25
"(0, 0, 0, 0, 3, 3, 2, 3)",7.277062370767566,2.375
"(0, 0, 0, 0, 3, 3, 3, 0)",7.078798645801075,2.125
"(0, 0, 0, 0, 3, 3, 3, 1)",8.257255536601386,2.25
"(0, 0, 0, 0, 3, 3, 3, 2)",7.371877586232252,2.375
"(0, 0, 0, 0, 3, 3, 3, 3)",7.737560215771888,2.5
"(0, 0, 0, 1, 0, 0, 0, 0)",9.829499763977985,1.125
"(0, 0, 0, 1, 0, 0, 0, 1)",11.166214885527925,1.25
"(0, 0, 0, 1, 0, 0, 0, 2)",10.582290154705992,1.375
"(0, 0, 0, 1, 0, 0, 0, 3)",11.817374535633942,1.5
