Indices,GC,LC
"(0, 1, 9, 4)",4.416909263813767,4.5
"(0, 1, 9, 5)",4.050044531629937,4.75
"(0, 1, 9, 6)",3.651940106510131,5.0
"(0, 1, 9, 7)",3.9219098847378002,5.25
"(0, 1, 9, 8)",3.120011134787943,5.5
"(0, 1, 9, 9)",3.6840921964673212,5.75
"(0, 1, 9, 10)",3.856263847864858,6.0
"(0, 1, 9, 11)",3.2367507033019085,6.25
"(0, 1, 9, 12)",3.774573785577429,6.5
"(0, 1, 9, 13)",3.4653833709675115,6.75
"(0, 1, 9, 14)",3.7624344115640342,7.0
"(0, 1, 9, 15)",3.0806969753100897,7.25
"(0, 1, 10, 0)",3.9455427452831953,3.75
"(0, 1, 10, 1)",3.2559298782670236,4.0
"(0, 1, 10, 2)",3.826480801020541,4.25
"(0, 1, 10, 3)",3.8723901467893835,4.5
"(0, 1, 10, 4)",3.567562349380856,4.75
"(0, 1, 10, 5)",3.5686918482987773,5.0
"(0, 1, 10, 6)",3.4468836257268287,5.25
"(0, 1, 10, 7)",3.523019755461479,5.5
"(0, 1, 10, 8)",3.1333717674702735,5.75
"(0, 1, 10, 9)",3.5268256785265892,6.0
"(0, 1, 10, 10)",3.4773576839357707,6.25
"(0, 1, 10, 11)",2.712079990740193,6.5
"(0, 1, 10, 12)",3.2865212911235893,6.75
"(0, 1, 10, 13)",3.8532321916045063,7.0
"(0, 1, 10, 14)",3.496556007276145,7.25
"(0, 1, 10, 15)",2.63426546369369,7.5
"(0, 1, 11, 0)",4.533900786714913,4.0
"(0, 1, 11, 1)",3.599693160560932,4.25
"(0, 1, 11, 2)",4.177503336007232,4.5
"(0, 1, 11, 3)",3.9853390693684663,4.75
"(0, 1, 11, 4)",4.200524627144324,5.0
"(0, 1, 11, 5)",3.866021434399889,5.25
"(0, 1, 11, 6)",3.7436666605906366,5.5
"(0, 1, 11, 7)",3.967056944958969,5.75
"(0, 1, 11, 8)",3.488136328701105,6.0
"(0, 1, 11, 9)",3.957288496050111,6.25
"(0, 1, 11, 10)",4.008276006601882,6.5
"(0, 1, 11, 11)",3.8024383349785857,6.75
"(0, 1, 11, 12)",4.044448961517039,7.0
"(0, 1, 11, 13)",3.8515014683244426,7.25
"(0, 1, 11, 14)",4.00501515337508,7.5
"(0, 1, 11, 15)",3.241952211874986,7.75
"(0, 1, 12, 0)",4.4593425420744275,4.25
"(0, 1, 12, 1)",3.343586641962433,4.5
"(0, 1, 12, 2)",4.657640560728547,4.75
"(0, 1, 12, 3)",4.080733520993863,5.0
"(0, 1, 12, 4)",4.444443186325347,5.25
"(0, 1, 12, 5)",3.6481799591100184,5.5
"(0, 1, 12, 6)",4.154732229322133,5.75
"(0, 1, 12, 7)",3.490098111127674,6.0
"(0, 1, 12, 8)",3.393727443356529,6.25
"(0, 1, 12, 9)",3.951711217613869,6.5
"(0, 1, 12, 10)",3.942860822105713,6.75
"(0, 1, 12, 11)",3.7949725746623817,7.0
"(0, 1, 12, 12)",4.276830998975854,7.25
"(0, 1, 12, 13)",4.035214440186738,7.5
"(0, 1, 12, 14)",4.382020649878253,7.75
"(0, 1, 12, 15)",3.2044150515331773,8.0
"(0, 1, 13, 0)",4.518109177973335,4.5
"(0, 1, 13, 1)",4.5952838976728,4.75
"(0, 1, 13, 2)",4.7588952948006265,5.0
"(0, 1, 13, 3)",4.918376651740556,5.25
"(0, 1, 13, 4)",4.515371548629026,5.5
"(0, 1, 13, 5)",3.989705648823543,5.75
"(0, 1, 13, 6)",4.020101576376093,6.0
"(0, 1, 13, 7)",4.570671613754458,6.25
"(0, 1, 13, 8)",3.8655324037568284,6.5
"(0, 1, 13, 9)",4.065911193434888,6.75
"(0, 1, 13, 10)",4.219063841375166,7.0
"(0, 1, 13, 11)",3.324537069306148,7.25
"(0, 1, 13, 12)",4.233419114597891,7.5
"(0, 1, 13, 13)",4.555832197486856,7.75
"(0, 1, 13, 14)",4.0836028071430635,8.0
"(0, 1, 13, 15)",3.73849032277841,8.25
"(0, 1, 14, 0)",4.429600109347437,4.75
"(0, 1, 14, 1)",3.6895651779663505,5.0
"(0, 1, 14, 2)",4.051605905013463,5.25
"(0, 1, 14, 3)",4.732194552147603,5.5
"(0, 1, 14, 4)",4.202667496375372,5.75
"(0, 1, 14, 5)",3.7190333567263276,6.0
"(0, 1, 14, 6)",4.225937688145593,6.25
"(0, 1, 14, 7)",3.7534818509058026,6.5
"(0, 1, 14, 8)",3.435465813465577,6.75
"(0, 1, 14, 9)",4.0874775277303295,7.0
"(0, 1, 14, 10)",4.102108695548228,7.25
"(0, 1, 14, 11)",3.822491768213098,7.5
"(0, 1, 14, 12)",3.8849521757232583,7.75
"(0, 1, 14, 13)",4.2311699389301145,8.0
"(0, 1, 14, 14)",4.451151222856591,8.25
"(0, 1, 14, 15)",2.657456911734079,8.5
"(0, 1, 15, 0)",3.8536504500505107,5.0
"(0, 1, 15, 1)",3.132166326894888,5.25
"(0, 1, 15, 2)",3.795557465159606,5.5
"(0, 1, 15, 3)",4.25047257303786,5.75
"(0, 1, 15, 4)",3.981135958782304,6.0
"(0, 1, 15, 5)",3.695318578898357,6.25
"(0, 1, 15, 6)",3.1774616395607125,6.5
"(0, 1, 15, 7)",3.6075635817985945,6.75
"(0, 1, 15, 8)",3.291744631334841,7.0
"(0, 1, 15, 9)",3.134390819094124,7.25
"(0, 1, 15, 10)",3.3794376566520374,7.5
"(0, 1, 15, 11)",2.9669701733609237,7.75
"(0, 1, 15, 12)",3.136341900293536,8.0
"(0, 1, 15, 13)",3.5067424962496228,8.25
"(0, 1, 15, 14)",3.335566684447918,8.5
"(0, 1, 15, 15)",2.6679132330747337,8.75
"(0, 2, 0, 0)",3.7907745022052017,1.5
"(0, 2, 0, 1)",4.192162899140163,1.75
"(0, 2, 0, 2)",3.9675092730603785,2.0
"(0, 2, 0, 3)",4.674627985430472,2.25
"(0, 2, 0, 4)",4.104605087422334,2.5
"(0, 2, 0, 5)",3.6796941136810104,2.75
"(0, 2, 0, 6)",3.588950686710023,3.0
"(0, 2, 0, 7)",3.667502843486142,3.25
"(0, 2, 0, 8)",3.3006052602522504,3.5
"(0, 2, 0, 9)",3.991804184099568,3.75
"(0, 2, 0, 10)",3.8516897771593714,4.0
"(0, 2, 0, 11)",3.878049545963163,4.25
"(0, 2, 0, 12)",3.7415469349023147,4.5
"(0, 2, 0, 13)",4.14787893633328,4.75
"(0, 2, 0, 14)",3.763127886245982,5.0
"(0, 2, 0, 15)",3.302877339252335,5.25
